# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:53:44 CEST 2014
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00100		Age = 	1.050e+10 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	10.02	0.88261759	0.7287	3.2090	3.6199	0.5170	-3.253	0.273	-1.052	-2.473	-3.221	-3.871	-4.793	-5.561	-5.656	3.10422754
	10.02	0.88261837	0.7278	3.2228	3.6188	0.4984	-3.287	0.278	-1.065	-2.497	-3.249	-3.902	-4.830	-5.601	-5.698	3.10422778
	10.02	0.88261914	0.7269	3.2367	3.6178	0.4799	-3.322	0.284	-1.078	-2.519	-3.277	-3.934	-4.867	-5.642	-5.739	3.10422802
	10.02	0.88261992	0.7259	3.2508	3.6167	0.4609	-3.357	0.291	-1.090	-2.542	-3.306	-3.967	-4.905	-5.684	-5.782	3.10422850
	10.02	0.88262063	0.7249	3.2646	3.6157	0.4423	-3.391	0.297	-1.102	-2.564	-3.334	-3.998	-4.942	-5.724	-5.823	3.10422873
	10.02	0.88262141	0.7238	3.2784	3.6146	0.4236	-3.426	0.304	-1.114	-2.586	-3.362	-4.030	-4.978	-5.765	-5.865	3.10422897
	10.02	0.88262218	0.7227	3.2925	3.6135	0.4046	-3.461	0.311	-1.126	-2.609	-3.390	-4.063	-5.016	-5.807	-5.907	3.10422921
	10.02	0.88262296	0.7215	3.3063	3.6125	0.3858	-3.496	0.318	-1.138	-2.631	-3.418	-4.094	-5.053	-5.847	-5.949	3.10422945
	10.02	0.88262355	0.7205	3.3174	3.6116	0.3708	-3.523	0.324	-1.147	-2.649	-3.440	-4.120	-5.083	-5.880	-5.982	3.10422969
	10.02	0.88262433	0.7191	3.3315	3.6106	0.3516	-3.559	0.332	-1.159	-2.672	-3.468	-4.152	-5.120	-5.921	-6.024	3.10422993
	10.02	0.88262510	0.7178	3.3453	3.6095	0.3328	-3.593	0.340	-1.171	-2.694	-3.496	-4.184	-5.157	-5.962	-6.066	3.10423017
	10.02	0.88262588	0.7163	3.3591	3.6085	0.3139	-3.628	0.348	-1.182	-2.716	-3.524	-4.215	-5.194	-6.003	-6.107	3.10423040
	10.02	0.88262665	0.7147	3.3732	3.6074	0.2945	-3.663	0.356	-1.194	-2.738	-3.552	-4.248	-5.232	-6.044	-6.150	3.10423088
	10.02	0.88262743	0.7131	3.3871	3.6063	0.2755	-3.698	0.364	-1.205	-2.760	-3.580	-4.279	-5.269	-6.085	-6.191	3.10423112
	10.02	0.88262814	0.7113	3.4012	3.6053	0.2560	-3.733	0.373	-1.216	-2.783	-3.608	-4.311	-5.306	-6.126	-6.234	3.10423136
