##############################################################################################################################################
NUM     NAME              Gl     Gb     P0                   P1              DM          DIST   DIST_DM     AGE    BINARY   PSR               
#                       (deg)  (deg)  (s)                                (cm^#3 pc)     (kpc)  (kpc)       (Yr)   (type)   TYPE               
##############################################################################################################################################
198   J0635+0533       206.15 -1.04  0.033856495           *              *            *      *          *        *       NRAD                
199   J0636-4549       254.55 -21.55 1.98459736713         3.1722E-15     26.31        0.98   0.98       9.91e+06 *       *                   
200   J0646+0905       204.27 3.05   0.9039132             0.7357E-15     149.0        9.50   9.50       1.95e+07 *       *                   

201   J0647+0913       204.23 3.28   1.23485362778         6.421E-15      154.7        10.84  10.84      3.05e+06 *       *                   
202   J0652-0142       214.54 -0.61  0.924053918109        0.1525E-15     116.3        5.83   5.83       9.6e+07  *       *                   
203   B0643+80         133.18 26.83  1.2144405115160       3.798787E-15   33.332       3.37   3.37       5.07e+06 *       *                   
204   J0656-2228       233.66 -8.98  1.22475441462         0.0267E-15     32.39        1.79   1.79       7.27e+08 *       *                   
205   J0656-5449       264.80 -21.14 0.183156898795        0.03191E-15    67.5         4.88   +4.88      9.09e+07 *       *                   

206   J0658+0022       213.37 1.69   0.563294925255        9.15201E-15    122.0        6.46   6.46       9.75e+05 *       *                   
207   B0656+14         201.11 8.26   0.384891195054        5.500309E-14   13.977       0.28   0.76       1.11e+05 *       HE[chmm89,rfk+96,srg
208   B0655+64         151.55 25.24  0.19567094516627      6.853E-19      8.771        0.48   0.48       4.52e+09 BT      *                   
209   J0709-5923       270.03 -20.90 0.485268383925        0.1260E-15     65           4.94   +4.94      6.1e+07  *       *                   
210   J0711+0931       206.67 8.78   1.21409049248         4E-16          45.0         2.39   2.39       4.81e+07 *       *                   

211   J0711-6830       279.53 -23.28 0.00549096850013900   1.49067E-20    18.4066      1.04   1.04       5.84e+09 *       *                   
212   J0719-2545       238.93 -5.83  0.974724730631        7.2819E-15     253.89       17.33  +17.33     2.12e+06 *       *                   
213   J0720-3125       244.16 -8.16  8.391115532           6.983E-14      *            0.40   *          1.9e+06  *       XINS,NRAD           
214   J0721-2038       234.67 -2.92  0.01554239497400      4.4E-20        76.1         3.87   3.87       5.6e+09  BT      *                   
215   J0725-1635       231.47 -0.33  0.4243114031834       9.2640E-17     98.98        4.68   4.68       7.26e+07 *       *                   

216   J0726-2612       240.08 -4.64  3.4423084877          293.11E-15     69.4         3.01   3.01       1.86e+05 *       *                   
217   J0729-1448       230.39 1.42   0.251658714181        1.132879E-13   92.3         4.37   4.37       3.52e+04 *       *                   
218   B0727-18         233.76 -0.34  0.51016034483         1.895713E-14   61.293       3.25   3.25       4.26e+05 *       *                   
219   J0733-2345       238.71 -2.03  1.79624970117         5.704E-15      194          11.95  11.95      4.99e+06 *       *                   
220   J0734-1559       231.97 1.86    0.156250             1.22e-14       *            *      *          2.03e+05 *       *                   

221   J0735-62         274.73 -19.21 4.862940              *              19.4         0.83   0.83       *        *       RRAT                
222   J0737-2202       237.68 -0.32  0.320366370454        5.46883E-15    95.7         4.30   4.30       9.28e+05 *       *                   
223   J0737-3039A      245.24 -4.50  0.0226993785996239    1.75993E-18    48.920       1.10   0.57       2.04e+08 DDS     HE[cgm+07,gkj+13]   
224   J0737-3039B      245.24 -4.50  2.77346077007         8.92E-16       48.920       1.10   0.57       4.92e+07 DD      *                   
225   B0736-40         254.19 -9.19  0.374919985032        1.6161E-15     160.8        1.60   +11.03     3.68e+06 *       *                   

226   B0740-28         243.77 -2.44  0.166762291572        1.682112E-14   73.782       2.00   1.89       1.57e+05 *       HE                  
227   B0743-53         266.63 -14.27 0.2148363514          2.73E-15       122.3        7.14   +7.14      1.25e+06 *       *                   
228   J0746-4529       259.20 -10.10 2.79102517845         16.660E-15     134.57       5.71   5.71       2.65e+06 *       *                   
229   J0749-4247       257.07 -8.35  1.095452157610        9.770E-16      104.595      2.36   2.36       1.78e+07 *       *                   
230   J0751+1807       202.73 21.09  0.00347877078318731   7.7860E-21     30.2489      0.40   2.02       7.08e+09 ELL1    HE[wob+04,aaa+09f]  

231   B0751+32         188.19 26.72  1.442349479143        1.079865E-15   39.949       3.92   +3.92      2.12e+07 *       *                   
232   B0756-15         234.46 7.22   0.6822651758060       1.618890E-15   63.327       3.72   3.72       6.68e+06 *       *                   
233   J0804-3647       253.33 -2.87  2.19198689593         4.21E-15       196          7.79   7.79       8.25e+06 *       *                   
234   J0806+08         213.92 20.33  2.0631                *              46           5.07   +5.07      *        *       *                   
235   J0806-4123       257.43 -4.98  11.37038593           5.6E-14        *            *      *          3.24e+06 *       XINS,NRAD           

236   J0807-5421       268.73 -11.59 0.52664353143         0.378E-15      165.03       8.76   +8.76      2.21e+07 *       *                   
237   J0808-3937       256.13 -3.76  0.86634928471         0.401E-15      165          5.62   5.62       3.42e+07 *       *                   
238   B0808-47         263.30 -7.96  0.547199235502        3.0825E-15     228.3        12.71  +12.71     2.81e+06 *       *                   
239   J0812-3905       256.11 -2.81  0.482595929159        0.0449E-15     327          26.83  +26.83     1.7e+08  *       *                   
240   B0809+74         140.00 31.62  1.292241446862        1.68114E-16    5.733        0.43   0.33       1.22e+08 *       *                   

241   J0815+0939       213.63 22.95  0.64516119106         0.139E-15      52.667       4.52   +4.52      7.35e+07 *       *                   
242   J0818-3049       249.98 2.91   0.7637418483          0.58E-15       133.7        4.17   4.17       2.09e+07 *       *                   
